household_id,household_size,num_adults,num_children,home_ownership,house_type,income_bracket,square_footage,num_bedrooms,num_bathrooms,house_age_years,insulation_quality,num_floors,has_basement,heating_type,cooling_type,thermostat_setting_winter,thermostat_setting_summer,climate_zone,num_refrigerators,has_dishwasher,has_washer_dryer,has_electric_water_heater,has_pool,has_spa_hot_tub,num_tvs,num_computers,has_smart_thermostat,has_led_lighting,has_energy_star_appliances,has_solar_panels,energy_audit_done,avg_daily_hours_home,works_from_home,electric_vehicle_count,peak_usage_time,monthly_kwh_consumption,high_consumption
HH_00000025,2,2,0,Rent,Single Family,<$40k,1915.0,3,2.0999999999999996,8,Poor,2,Yes,Gas,Central AC,67.0,73,Cold,1,Yes,Yes,Yes,No,No,1,3,No,Yes,No,No,No,,No,1,Evening,3293.0,Yes
HH_00000026,2,2,0,Own,Apartment,$40k-$75k,1527.0,3,2.0999999999999996,6,Poor,1,No,Electric,Central AC,67.0,77,Moderate,2,Yes,Yes,No,Yes,No,3,5,No,Yes,No,No,Yes,15.0,No,1,Evening,3302.0,Yes
HH_00000027,2,2,0,Own,Condo,<$40k,1815.0,1,1.0,6,Excellent,1,Yes,Other,Central AC,64.0,77,Moderate,1,Yes,Yes,No,No,No,1,3,No,Yes,Yes,No,No,23.0,No,0,Morning,2197.0,No
HH_00000028,3,3,0,Own,Single Family,<$40k,1587.0,2,1.4,6,Good,1,No,Oil,Heat Pump,67.0,71,Hot,1,Yes,Yes,Yes,Yes,Yes,3,1,Yes,No,Yes,No,No,14.0,Yes,1,Night,3509.0,Yes
HH_00000029,3,3,0,Own,Single Family,$75k-$120k,,4,3.8,54,Excellent,1,Yes,Gas,Central AC,67.0,68,Moderate,1,No,Yes,Yes,No,No,4,2,No,Yes,Yes,Yes,Yes,16.0,No,1,Night,2708.0,No
HH_00000030,5,4,1,Rent,Townhouse,$40k-$75k,2627.0,4,3.8,40,Good,2,No,Heat Pump,Central AC,71.0,79,Moderate,2,Yes,Yes,No,No,No,1,3,No,Yes,Yes,No,Yes,19.0,No,0,Evening,3384.0,Yes
HH_00000031,6,6,0,Own,Single Family,$40k-$75k,3205.0,6,5.0,20,Excellent,2,Yes,Electric,Central AC,65.0,74,Moderate,1,Yes,No,Yes,No,No,3,4,No,No,No,No,No,11.0,No,0,Evening,4435.0,Yes
HH_00000032,2,2,0,Own,Apartment,$120k+,1532.0,3,2.0999999999999996,43,Poor,2,Yes,Electric,None,67.0,72,Moderate,2,No,Yes,Yes,No,No,1,3,No,Yes,Yes,No,Yes,16.0,No,1,Afternoon,3197.0,Yes
HH_00000033,6,5,1,Own,Single Family,<$40k,3296.0,6,4.199999999999999,20,Fair,2,No,Electric,Central AC,67.0,76,Hot,1,No,No,No,No,No,2,3,Yes,No,Yes,No,No,11.0,No,0,Evening,4675.0,Yes
HH_00000034,3,2,1,Own,Townhouse,$40k-$75k,2115.0,2,1.4,25,Good,1,No,Gas,Central AC,66.0,72,Moderate,2,Yes,No,No,No,No,2,2,No,Yes,Yes,No,Yes,23.0,No,0,Morning,2554.0,No
HH_00000035,3,3,0,Own,Single Family,$75k-$120k,2557.0,2,2.4,36,Good,2,No,Electric,Window Units,69.0,71,Moderate,1,Yes,Yes,Yes,No,No,3,5,No,Yes,No,No,No,18.0,Yes,0,Night,3092.0,Yes
HH_00000036,1,1,0,Rent,Single Family,<$40k,1219.0,1,1.7,22,Fair,2,Yes,Oil,None,68.0,73,Mixed,2,Yes,Yes,Yes,No,No,5,2,No,No,Yes,No,No,18.0,Yes,2,Afternoon,2544.0,No
HH_00000037,2,1,1,Own,Single Family,$40k-$75k,1757.0,2,1.4,10,Fair,2,Yes,Gas,Central AC,65.0,72,Moderate,1,Yes,Yes,No,No,No,2,3,No,No,Yes,No,No,20.0,No,0,Evening,2168.0,No
HH_00000038,3,2,1,Own,Single Family,$75k-$120k,2167.0,3,3.0999999999999996,6,Fair,2,No,Gas,Central AC,71.0,73,Mixed,1,Yes,Yes,No,No,No,1,3,No,No,No,No,No,5.0,No,0,Evening,2764.0,No
HH_00000039,4,4,0,Rent,Apartment,$75k-$120k,2263.0,5,4.5,22,Fair,1,No,Oil,Central AC,71.0,76,Hot,1,Yes,Yes,Yes,No,No,2,4,No,No,No,No,No,17.0,No,1,Morning,4133.0,Yes
HH_00000040,2,2,0,Own,Single Family,$40k-$75k,1802.0,1,1.0,78,Good,1,No,Gas,Window Units,75.0,72,Hot,1,No,Yes,No,No,No,1,3,No,Yes,Yes,No,Yes,17.0,Yes,0,Night,2803.0,No
HH_00000041,6,6,0,Own,Single Family,<$40k,3446.0,6,4.199999999999999,19,Excellent,2,Yes,Electric,Heat Pump,68.0,72,Mixed,1,Yes,Yes,Yes,No,No,2,3,No,No,No,No,No,10.0,No,0,Night,4300.0,Yes
HH_00000042,1,1,0,Own,Condo,$40k-$75k,1208.0,1,1.7,11,Good,1,No,Electric,Window Units,70.0,76,Moderate,1,No,Yes,Yes,No,Yes,4,3,No,Yes,No,No,No,13.0,Yes,0,Evening,2108.0,No
HH_00000043,1,1,0,Own,Townhouse,$40k-$75k,1461.0,2,2.4,6,Good,3,No,Electric,Central AC,,74,Moderate,1,Yes,Yes,No,No,Yes,3,5,Yes,Yes,Yes,No,No,13.0,Yes,1,Evening,2542.0,No
HH_00000044,2,2,0,Own,Single Family,$120k+,1539.0,3,3.0999999999999996,6,Poor,1,Yes,Oil,Window Units,75.0,72,Mixed,1,No,Yes,No,No,No,6,4,No,No,No,No,No,17.0,No,0,Afternoon,2132.0,No
HH_00000045,4,4,0,Own,Single Family,$120k+,1965.0,4,3.8,4,Fair,1,Yes,Electric,Window Units,66.0,74,Hot,2,Yes,Yes,Yes,No,No,3,2,No,Yes,Yes,Yes,No,,No,0,Evening,3341.0,Yes
HH_00000046,2,2,0,Rent,Apartment,<$40k,,2,2.4,11,Poor,2,No,Gas,Heat Pump,70.0,68,Moderate,1,No,Yes,No,No,No,5,1,No,No,Yes,No,No,9.0,No,0,Night,2099.0,No
HH_00000047,3,2,1,Own,Single Family,<$40k,1925.0,3,3.0999999999999996,1,Fair,2,Yes,Gas,Window Units,66.0,73,Hot,1,Yes,Yes,No,No,No,1,1,No,No,Yes,No,No,11.0,No,1,Night,3110.0,Yes
HH_00000048,2,2,0,Own,Single Family,<$40k,2045.0,3,2.0999999999999996,19,Excellent,1,No,Electric,Window Units,,69,Cold,1,Yes,Yes,Yes,No,No,3,1,No,No,No,Yes,No,16.0,No,0,Evening,2551.0,No
HH_00000049,2,2,0,Own,Condo,$120k+,1678.0,3,2.0999999999999996,24,Fair,2,No,Gas,Central AC,70.0,73,Moderate,2,Yes,Yes,Yes,No,No,2,2,Yes,No,No,No,No,15.0,No,1,Night,2751.0,No
HH_00000050,1,1,0,Rent,Townhouse,$40k-$75k,938.0,2,1.4,21,Excellent,2,Yes,Oil,Heat Pump,66.0,70,Cold,1,No,No,Yes,No,No,7,2,No,Yes,No,No,Yes,8.0,No,0,Night,1672.0,No
HH_00000051,3,2,1,Rent,Single Family,$75k-$120k,1332.0,2,1.4,1,Good,2,No,Electric,Window Units,66.0,75,Cold,1,Yes,Yes,No,No,No,1,4,No,Yes,No,No,No,9.0,No,0,Evening,2438.0,No
HH_00000052,2,2,0,Rent,Apartment,$40k-$75k,1216.0,1,1.0,16,Fair,2,No,Electric,Central AC,71.0,75,Mixed,1,No,Yes,Yes,No,No,2,6,No,Yes,Yes,Yes,No,15.0,No,0,Morning,2416.0,No
HH_00000053,4,3,1,Rent,Single Family,$40k-$75k,2065.0,4,3.8,1,Excellent,2,Yes,Electric,Window Units,70.0,76,Hot,1,Yes,Yes,No,No,No,4,2,No,No,Yes,No,No,19.0,No,0,Afternoon,3200.0,Yes
HH_00000054,3,3,0,Rent,Townhouse,$40k-$75k,,3,2.0999999999999996,5,Fair,2,No,Gas,Central AC,64.0,77,Mixed,2,Yes,Yes,Yes,No,No,3,5,No,Yes,Yes,No,No,12.0,No,1,Evening,2979.0,No
HH_00000055,4,4,0,Own,Single Family,$120k+,3170.0,3,3.0999999999999996,2,Good,1,No,Heat Pump,Central AC,72.0,77,Hot,1,Yes,Yes,No,No,No,1,5,Yes,Yes,Yes,No,Yes,13.0,Yes,2,Evening,4554.0,Yes
HH_00000056,2,2,0,Rent,Apartment,<$40k,1748.0,3,3.0999999999999996,63,Excellent,2,Yes,Other,Heat Pump,67.0,71,Mixed,3,Yes,Yes,No,No,No,5,2,Yes,Yes,No,No,No,13.0,No,0,Afternoon,2076.0,No
HH_00000057,2,2,0,Own,Apartment,$120k+,1887.0,2,2.4,29,Excellent,2,No,Gas,None,62.0,74,Moderate,2,Yes,No,Yes,No,No,1,4,Yes,Yes,Yes,No,No,7.0,Yes,1,Evening,2525.0,No
HH_00000058,4,4,0,Rent,Single Family,$40k-$75k,2149.0,5,4.5,28,Poor,2,No,Electric,Central AC,70.0,77,Hot,1,Yes,Yes,Yes,No,No,2,4,No,No,Yes,No,No,13.0,Yes,1,Afternoon,4616.0,Yes
HH_00000059,2,2,0,Own,Apartment,$40k-$75k,1553.0,2,2.4,10,Good,1,No,Gas,Central AC,70.0,73,Hot,1,No,No,No,Yes,No,4,2,Yes,No,Yes,No,No,13.0,No,0,Afternoon,3117.0,Yes
HH_00000060,3,3,0,Own,Apartment,$75k-$120k,1860.0,4,3.8,7,Poor,1,Yes,Gas,None,73.0,72,Moderate,1,Yes,Yes,No,No,No,3,4,No,Yes,Yes,No,No,4.0,No,0,Evening,2372.0,No
HH_00000061,4,4,0,Rent,Condo,$40k-$75k,,5,4.5,2,Good,2,Yes,Gas,Heat Pump,66.0,74,Moderate,2,Yes,Yes,Yes,Yes,Yes,5,6,Yes,Yes,No,No,No,10.0,No,1,Evening,3785.0,Yes
HH_00000062,3,3,0,Rent,Apartment,$40k-$75k,1955.0,2,2.4,42,Poor,2,No,Electric,Central AC,74.0,69,Moderate,2,No,Yes,Yes,No,No,1,4,Yes,No,No,No,No,19.0,Yes,0,Night,3841.0,Yes
HH_00000063,2,2,0,Rent,Single Family,$120k+,1761.0,1,1.7,34,Excellent,2,No,Gas,Central AC,67.0,71,Moderate,1,Yes,Yes,No,No,No,3,2,Yes,Yes,Yes,No,No,10.0,No,0,Evening,2131.0,No
HH_00000064,3,3,0,Own,Townhouse,$75k-$120k,2440.0,4,2.8,27,Poor,1,No,Oil,Window Units,72.0,75,Moderate,1,Yes,Yes,Yes,No,No,8,4,No,Yes,Yes,Yes,No,14.0,No,0,Night,2704.0,No
HH_00000065,1,1,0,Rent,Single Family,$120k+,1386.0,1,1.7,9,Good,2,Yes,Oil,None,70.0,72,Moderate,1,Yes,Yes,Yes,No,No,5,2,Yes,No,Yes,No,No,18.0,No,2,Evening,2400.0,No
HH_00000066,2,2,0,Own,Condo,$75k-$120k,1501.0,1,1.7,28,Good,3,No,Electric,Central AC,70.0,73,Cold,3,Yes,Yes,No,No,No,3,1,No,Yes,No,No,No,14.0,Yes,0,Evening,2853.0,No
HH_00000067,4,4,0,Own,Single Family,$75k-$120k,2343.0,5,4.5,20,Good,1,No,Gas,Central AC,73.0,68,Hot,2,Yes,Yes,No,No,No,4,3,No,Yes,Yes,No,No,19.0,No,0,Afternoon,3285.0,Yes
HH_00000068,4,2,2,Own,Single Family,$40k-$75k,1836.0,4,2.8,21,Good,2,No,Heat Pump,Window Units,,71,Hot,1,Yes,Yes,No,No,No,7,3,No,Yes,No,No,No,8.0,Yes,2,Morning,3413.0,Yes
HH_00000069,4,4,0,Own,Apartment,$40k-$75k,2721.0,5,3.5,34,Fair,1,No,Electric,Central AC,73.0,75,Mixed,2,Yes,Yes,No,No,No,4,3,No,Yes,Yes,No,Yes,10.0,No,0,Night,3639.0,Yes
HH_00000070,4,4,0,Own,Apartment,$40k-$75k,2765.0,3,3.0999999999999996,5,Good,2,No,Gas,Central AC,72.0,74,Mixed,1,No,Yes,No,Yes,No,3,1,No,No,No,No,No,16.0,No,2,Evening,4353.0,Yes
HH_00000071,4,4,0,Own,Townhouse,<$40k,2216.0,3,3.0999999999999996,14,Poor,3,No,Oil,Central AC,69.0,72,Moderate,1,Yes,No,Yes,No,No,6,4,No,Yes,No,No,No,23.0,No,1,Evening,3707.0,Yes
HH_00000072,3,3,0,Own,Townhouse,$120k+,1757.0,2,1.4,55,Fair,2,Yes,Electric,Window Units,71.0,78,Hot,1,No,Yes,Yes,No,No,4,1,Yes,Yes,No,No,No,7.0,No,1,Evening,3916.0,Yes
HH_00000073,1,1,0,Rent,Condo,$75k-$120k,1338.0,1,1.7,17,Fair,1,No,Gas,None,70.0,73,Hot,1,Yes,No,No,No,No,3,1,No,No,Yes,Yes,No,15.0,No,0,Evening,1784.0,No
HH_00000074,2,2,0,Own,Single Family,$40k-$75k,1689.0,1,1.7,11,Poor,1,No,Electric,Central AC,,76,Mixed,1,Yes,Yes,Yes,Yes,No,6,2,No,Yes,No,No,No,21.0,No,0,Morning,3633.0,Yes
HH_00000075,2,2,0,Own,Apartment,$75k-$120k,1631.0,3,3.0999999999999996,12,Good,1,No,Oil,Window Units,74.0,77,Moderate,1,Yes,Yes,No,No,No,2,0,Yes,No,Yes,No,No,17.0,No,0,Morning,1741.0,No
HH_00000076,1,1,0,Own,Single Family,$75k-$120k,1188.0,1,1.0,44,Good,3,No,Gas,Central AC,73.0,74,Moderate,2,No,Yes,No,No,No,2,4,Yes,Yes,No,No,No,16.0,No,0,Evening,1862.0,No
HH_00000077,1,1,0,Own,Single Family,$40k-$75k,1155.0,1,1.0,100,Fair,2,Yes,Oil,Central AC,68.0,75,Hot,1,Yes,Yes,Yes,No,No,3,1,No,No,Yes,No,No,19.0,Yes,0,Evening,2810.0,No
HH_00000078,2,2,0,Rent,Condo,$120k+,1655.0,3,2.0999999999999996,74,Excellent,1,No,Gas,Central AC,72.0,73,Cold,1,Yes,Yes,Yes,No,No,1,4,No,Yes,No,No,No,13.0,No,0,Morning,2638.0,No
HH_00000079,3,3,0,Rent,Single Family,$40k-$75k,,3,3.0999999999999996,100,Fair,2,No,Electric,Heat Pump,74.0,79,Mixed,1,Yes,Yes,Yes,No,Yes,1,2,No,Yes,Yes,No,No,19.0,Yes,1,Night,3446.0,Yes
HH_00000080,5,5,0,Own,Single Family,<$40k,2622.0,4,2.8,10,Good,1,Yes,Electric,Window Units,71.0,73,Hot,1,Yes,Yes,No,No,No,1,1,Yes,Yes,No,No,Yes,19.0,Yes,0,Night,4076.0,Yes
HH_00000081,4,4,0,Rent,Townhouse,$40k-$75k,2279.0,4,3.8,12,Poor,2,No,Electric,Central AC,70.0,74,Mixed,1,Yes,Yes,No,No,No,2,3,Yes,Yes,No,No,No,12.0,No,1,Evening,3900.0,Yes
HH_00000082,2,1,1,Own,Single Family,<$40k,1508.0,2,1.4,11,Good,2,No,Electric,Central AC,71.0,75,Hot,1,Yes,Yes,Yes,No,No,3,0,Yes,No,No,No,No,21.0,No,0,Evening,2881.0,No
HH_00000083,2,2,0,Rent,Single Family,$40k-$75k,2043.0,1,1.0,21,Fair,2,Yes,Electric,Window Units,64.0,72,Cold,1,Yes,Yes,No,No,No,5,3,Yes,Yes,No,No,Yes,15.0,No,1,Afternoon,3225.0,Yes
HH_00000084,5,5,0,Rent,Single Family,$120k+,3268.0,5,3.5,16,Excellent,1,No,Oil,Central AC,74.0,75,Hot,2,No,Yes,No,No,No,1,1,Yes,No,No,No,No,9.0,No,1,Evening,4394.0,Yes
HH_00000085,2,1,1,Rent,Single Family,<$40k,1508.0,3,3.0999999999999996,37,Fair,1,No,Electric,Window Units,69.0,72,Cold,1,Yes,Yes,Yes,No,No,3,3,No,Yes,Yes,No,No,14.0,Yes,0,Afternoon,2875.0,No
HH_00000086,2,1,1,Own,Single Family,$40k-$75k,1707.0,1,1.7,14,Fair,2,No,Gas,Central AC,70.0,71,Mixed,1,Yes,Yes,No,No,No,7,2,No,Yes,No,No,Yes,14.0,No,0,Morning,2132.0,No
HH_00000087,5,5,0,Own,Single Family,$40k-$75k,3074.0,4,3.8,1,Good,2,No,Gas,Central AC,78.0,72,Moderate,1,Yes,Yes,No,No,No,1,6,Yes,No,No,No,Yes,8.0,No,0,Evening,3745.0,Yes
HH_00000088,2,2,0,Own,Single Family,$40k-$75k,1523.0,2,1.4,17,Excellent,1,No,Gas,Heat Pump,70.0,69,Hot,1,Yes,Yes,No,No,No,4,3,Yes,Yes,No,No,No,14.0,No,1,Evening,2356.0,No
HH_00000089,1,1,0,Rent,Single Family,<$40k,1795.0,1,1.0,26,Fair,1,Yes,Gas,Central AC,67.0,74,Cold,1,Yes,Yes,Yes,No,No,3,1,No,Yes,Yes,Yes,No,20.0,No,1,Night,2735.0,No
HH_00000090,3,3,0,Own,Single Family,$75k-$120k,2352.0,2,2.4,47,Good,1,Yes,Electric,Central AC,65.0,78,Mixed,2,No,Yes,Yes,No,No,3,3,No,No,No,No,No,13.0,Yes,1,Evening,4104.0,Yes
HH_00000091,5,5,0,Own,Apartment,$75k-$120k,2631.0,5,3.5,14,Good,2,Yes,Oil,Central AC,68.0,74,Cold,1,Yes,Yes,Yes,No,No,2,3,No,Yes,Yes,No,No,14.0,No,1,Evening,3985.0,Yes
HH_00000092,3,3,0,Own,Single Family,<$40k,2183.0,4,3.8,54,Excellent,2,No,Gas,Central AC,69.0,72,Hot,1,Yes,Yes,No,No,No,3,3,No,Yes,Yes,No,Yes,15.0,No,0,Evening,2947.0,No
HH_00000093,3,2,1,Own,Condo,<$40k,1782.0,2,2.4,80,Fair,2,Yes,Electric,Window Units,72.0,79,Cold,1,No,Yes,Yes,Yes,No,1,3,Yes,No,Yes,No,No,10.0,No,2,Morning,4616.0,Yes
HH_00000094,2,2,0,Own,Townhouse,$75k-$120k,1883.0,1,1.0,25,Fair,2,No,Gas,Central AC,66.0,70,Cold,1,Yes,Yes,Yes,No,No,3,1,No,No,Yes,No,No,15.0,Yes,0,Evening,3079.0,Yes
HH_00000095,2,2,0,Own,Single Family,$75k-$120k,1617.0,2,2.4,37,Fair,1,Yes,Oil,Central AC,67.0,72,Hot,1,Yes,Yes,Yes,No,No,6,4,No,No,Yes,No,No,14.0,No,0,Evening,2784.0,No
HH_00000096,1,1,0,Own,Apartment,$120k+,1022.0,2,2.4,1,Fair,1,No,Gas,Heat Pump,75.0,72,Cold,1,Yes,Yes,Yes,No,No,2,1,Yes,Yes,No,No,No,13.0,No,0,Night,1794.0,No
HH_00000097,2,2,0,Own,Condo,<$40k,1477.0,3,2.0999999999999996,6,Excellent,2,No,Heat Pump,Central AC,72.0,77,Hot,2,Yes,Yes,Yes,Yes,Yes,3,0,No,No,No,No,No,9.0,No,0,Evening,3115.0,Yes
HH_00000098,4,4,0,Own,Townhouse,$40k-$75k,2628.0,5,3.5,4,Poor,2,Yes,Electric,Central AC,68.0,78,Moderate,1,Yes,Yes,No,No,No,5,5,Yes,No,No,No,No,10.0,Yes,0,Afternoon,3935.0,Yes
HH_00000099,2,1,1,Own,Single Family,<$40k,1767.0,1,1.0,13,Fair,2,No,Heat Pump,Window Units,68.0,72,Moderate,1,Yes,Yes,No,No,No,1,0,No,Yes,Yes,No,No,13.0,No,0,Afternoon,1717.0,No
HH_00000100,2,2,0,Own,Single Family,<$40k,2159.0,1,1.0,94,Fair,2,No,Heat Pump,Window Units,68.0,72,Moderate,2,Yes,Yes,Yes,No,No,3,5,No,Yes,Yes,Yes,Yes,16.0,Yes,0,Afternoon,2467.0,No
HH_00000101,2,2,0,Rent,Apartment,$75k-$120k,1228.0,3,3.0999999999999996,29,Fair,3,No,Heat Pump,Central AC,73.0,75,Cold,1,Yes,Yes,Yes,No,No,5,3,Yes,Yes,No,No,No,24.0,Yes,0,Morning,2915.0,No
HH_00000102,4,4,0,Own,Townhouse,$40k-$75k,2516.0,3,2.0999999999999996,17,Good,1,Yes,Gas,Central AC,71.0,75,Mixed,2,Yes,Yes,No,No,No,5,1,Yes,No,Yes,No,Yes,10.0,No,0,Evening,3284.0,Yes
HH_00000103,3,1,2,Own,Apartment,$120k+,1605.0,3,2.0999999999999996,5,Good,2,Yes,Electric,Central AC,70.0,77,Moderate,1,No,Yes,Yes,No,Yes,2,2,No,Yes,No,No,No,16.0,No,0,Evening,2682.0,No
HH_00000104,4,4,0,Own,Condo,<$40k,2229.0,4,2.8,3,Fair,1,No,Gas,Central AC,75.0,71,Mixed,1,No,Yes,Yes,No,No,5,4,No,No,Yes,No,No,16.0,No,1,Evening,3752.0,Yes
HH_00000105,1,1,0,Rent,Single Family,$40k-$75k,,1,1.0,100,Good,2,Yes,Electric,Central AC,72.0,72,Cold,2,Yes,Yes,Yes,No,No,3,5,No,No,No,No,No,10.0,No,0,Evening,2908.0,No
HH_00000106,2,2,0,Own,Townhouse,$75k-$120k,1608.0,3,2.0999999999999996,21,Fair,2,Yes,Gas,Heat Pump,68.0,76,Mixed,1,Yes,Yes,No,No,No,2,1,Yes,Yes,No,No,No,7.0,Yes,0,Evening,2063.0,No
HH_00000107,3,1,2,Rent,Apartment,$40k-$75k,2044.0,3,2.0999999999999996,47,Good,2,No,Heat Pump,Central AC,67.0,74,Hot,1,Yes,Yes,No,No,No,3,1,No,Yes,Yes,No,No,13.0,No,0,Evening,2847.0,No
